Filename,Species,Plant,TleafRounded,Obs,Photo,Ci,CO2R,PAR,PARRounded,Cond,VPD,Flow
2022-01-18 AL cristatus CStar1 r1_3 leaf area.xlsx,cristatus,1,30,1,27.66618270097212,227.41127626706427,385.8825073242187,1499.6834716796875,1500,0.3555292852688801,2.3205008822551463,500.6144104003906
2022-01-18 AL cristatus CStar1 r1_3 leaf area.xlsx,cristatus,1,30,2,7.512381591622417,78.61434533208595,122.00425720214844,1499.8431396484375,1500,0.3588114217763967,2.3252549407741463,500.61813354492193
2022-01-18 AL cristatus CStar1 r1_3 leaf area.xlsx,cristatus,1,30,3,5.843097653651495,65.02411843268906,98.34833526611328,1500.2037353515625,1500,0.36644925183787086,2.3313322744970355,500.61578369140625
2022-01-18 AL cristatus CStar1 r1_3 leaf area.xlsx,cristatus,1,30,4,5.157055871658925,59.8005118938645,88.90638732910156,1500.8369140625,1500,0.3726801530853718,2.3364258634736763,500.6209716796875
2022-01-18 AL cristatus CStar1 r1_3 leaf area.xlsx,cristatus,1,30,5,4.414840894185427,54.39355979034938,79.06197357177734,1500.7762451171875,1500,0.3797825766664216,2.342015021691259,500.6146240234375
2022-01-18 AL cristatus CStar1 r1_3 leaf area.xlsx,cristatus,1,30,6,3.5810390455838026,49.56182835811093,69.49567413330078,1500.9862060546875,1500,0.38689616220123846,2.346531145866974,500.6210021972656
2022-01-18 AL cristatus CStar1 r1_3 leaf area.xlsx,cristatus,1,30,7,2.760141983152388,44.43046376495796,59.84081268310547,1501.125244140625,1500,0.3932588863214008,2.3503033584386284,500.61331176757807
2022-01-18 AL cristatus CStar1 r1_3 leaf area.xlsx,cristatus,1,30,8,28.056390538744168,237.85353310483904,385.7517395019531,1500.6009521484375,1500,0.3939666674187142,2.3528175212768256,500.5914611816406
2022-01-18 AL cristatus CStar1 r1_3 leaf area.xlsx,cristatus,1,30,9,14.617872999047528,277.6913496123497,385.6121215820313,451.1323547363282,450,0.2773816788948206,2.2552067282606147,500.6015625
2022-01-18 AL cristatus CStar1 r1_3 leaf area.xlsx,cristatus,1,30,10,4.546392639184134,86.90234352830774,121.92364501953124,451.1076354980469,450,0.26322106884125135,2.245309931812808,500.60589599609375
2022-01-18 AL cristatus CStar1 r1_3 leaf area.xlsx,cristatus,1,30,11,3.315144938969744,73.0199771755809,98.29378509521484,450.92962646484375,450,0.2714332841234636,2.253213770803297,500.6109313964844
2022-01-18 AL cristatus CStar1 r1_3 leaf area.xlsx,cristatus,1,30,12,2.8934264104592153,67.22475107279197,88.88175201416016,450.8119812011718,450,0.280198130374472,2.2628845322658746,500.60934448242193
2022-01-18 AL cristatus CStar1 r1_3 leaf area.xlsx,cristatus,1,30,13,2.349641421316572,61.5928207936427,79.0321044921875,450.86566162109375,450,0.2887557968370012,2.26999130716853,500.6124267578125
2022-01-18 AL cristatus CStar1 r1_3 leaf area.xlsx,cristatus,1,30,14,1.776883026400373,56.18403155755559,69.46802520751953,450.7342529296875,450,0.2965991394388209,2.277364231100306,500.6316528320313
2022-01-18 AL cristatus CStar1 r1_3 leaf area.xlsx,cristatus,1,30,15,1.19191243863969,50.60727650663518,59.83491897583008,450.5940551757813,450,0.3046715451749593,2.2832087036394224,500.60595703125
2022-01-18 AL cristatus CStar1 r1_3 leaf area.xlsx,cristatus,1,30,16,15.141765041304245,282.54459262318926,385.6622314453125,450.6471557617187,450,0.30668160583480064,2.2835010541411465,500.6134948730469
2022-01-18 AL cristatus CStar1 r1_3 leaf area.xlsx,cristatus,1,30,17,12.206788555494136,283.8977505500296,385.81048583984375,349.8880310058594,350,0.2440784120867552,2.2363063709597917,500.6082153320313
2022-01-18 AL cristatus CStar1 r1_3 leaf area.xlsx,cristatus,1,30,18,3.764369123722144,89.98068331635552,122.05059051513672,349.9651794433594,350,0.23893030318825517,2.233588591530497,500.6143798828125
2022-01-18 AL cristatus CStar1 r1_3 leaf area.xlsx,cristatus,1,30,19,2.719372682572539,75.68555111818928,98.367340087890625,349.89093017578125,350,0.25084198635535837,2.2419307034690283,500.6199035644531
2022-01-18 AL cristatus CStar1 r1_3 leaf area.xlsx,cristatus,1,30,20,2.3688085978372015,69.65220160303281,88.92601776123047,349.950927734375,350,0.26131170513513047,2.2493301150760088,500.6189270019531
2022-01-18 AL cristatus CStar1 r1_3 leaf area.xlsx,cristatus,1,30,21,1.8348593303878469,64.23594360642211,79.10850524902344,349.8535461425781,350,0.2730295276530429,2.2228202200990053,500.6186218261718
2022-01-18 AL cristatus CStar1 r1_3 leaf area.xlsx,cristatus,1,30,22,1.277998853334223,58.807072712654936,69.51091003417969,349.8062438964844,350,0.28024154500555515,2.221139762728635,500.6060791015625
2022-01-18 AL cristatus CStar1 r1_3 leaf area.xlsx,cristatus,1,30,23,0.7765560739249912,52.86489795329808,59.9030647277832,349.7138366699219,350,0.2885608858140002,2.227029429560702,500.5982666015625
2022-01-18 AL cristatus CStar1 r1_3 leaf area.xlsx,cristatus,1,30,24,12.771256198531503,293.1275741491188,385.6282958984375,349.7017517089844,350,0.2928931141329478,2.222115760194356,500.6072387695313
2022-01-18 AL cristatus CStar1 r1_3 leaf area.xlsx,cristatus,1,30,25,9.405328991860223,290.4835754950977,385.2557373046875,249.6750640869141,250,0.20334246857394997,2.0926607805695676,500.6184692382813
2022-01-18 AL cristatus CStar1 r1_3 leaf area.xlsx,cristatus,1,30,26,2.848221625891802,91.73582336816956,121.72038269042967,249.58216857910156,250,0.19425303916237013,2.063198612992331,500.6131591796875
2022-01-18 AL cristatus CStar1 r1_3 leaf area.xlsx,cristatus,1,30,27,2.039314606480655,77.25081357634195,98.06554412841797,249.57896423339844,250,0.20870415426160455,2.0434143005259684,500.6166076660156
2022-01-18 AL cristatus CStar1 r1_3 leaf area.xlsx,cristatus,1,30,28,1.7303099861676026,71.50273201507385,88.69469451904298,249.4196014404297,250,0.22154709851695104,2.0072150239995974,500.61871337890625
2022-01-18 AL cristatus CStar1 r1_3 leaf area.xlsx,cristatus,1,30,29,1.3358503136365203,65.58417240587127,78.86311340332033,249.58981323242188,250,0.23275187056229435,1.966193269880052,500.4107360839844
2022-01-18 AL cristatus CStar1 r1_3 leaf area.xlsx,cristatus,1,30,30,0.8934278366945245,60.2053628866694,69.55427551269531,249.582275390625,250,0.2434151118594952,1.9288092239273391,500.6124267578125
2022-01-18 AL cristatus CStar1 r1_3 leaf area.xlsx,cristatus,1,30,31,0.5119371378940497,53.81634118225472,59.93113708496094,249.5728454589844,250,0.2528016720656969,1.8946808325201856,500.61859130859375
2022-01-18 AL cristatus CStar1 r1_3 leaf area.xlsx,cristatus,1,30,32,9.593370614719348,302.83791671336115,385.8000793457031,249.5749969482422,250,0.2544197635662038,1.8545457772874503,500.6108703613282
2022-01-18 AL cristatus CStar1 r1_3 leaf area.xlsx,cristatus,1,30,33,5.830294904379926,293.9843532643114,385.6956176757813,151.32138061523438,150,0.130833181930792,1.615947844586568,500.6105041503906
2022-01-18 AL cristatus CStar1 r1_3 leaf area.xlsx,cristatus,1,30,34,1.682099680943462,94.20613871409076,121.7493896484375,151.29269409179688,150,0.12739150627470014,1.5834832416067148,500.616455078125
2022-01-18 AL cristatus CStar1 r1_3 leaf area.xlsx,cristatus,1,30,35,1.2136721826095591,79.58090159418816,98.15702819824219,151.23318481445312,150,0.1450685067495782,1.575256858102977,500.606201171875
2022-01-18 AL cristatus CStar1 r1_3 leaf area.xlsx,cristatus,1,30,36,1.068669098529934,73.2664211975466,88.76837158203125,151.27268981933594,150,0.15852760939296565,1.5609221102248705,500.61428833007807
2022-01-18 AL cristatus CStar1 r1_3 leaf area.xlsx,cristatus,1,30,37,0.8716584077587307,66.83688074881951,79.18992614746094,151.27610778808594,150,0.1709023214927545,1.5508234453892873,500.613037109375
